nom,latitud,longitud,ciutat,imatge,codiPais
Club Natació Barcelona,41.3716478,2.1884032,Barcelona,https://portvellbcn.cat/wp-content/uploads/2019/10/cnb_portvell_barcelona_04.jpg,ES
Cub Natació Badalona,41.4465858,2.2505433,Badalona,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_mOIKsfS1lk9JRZdviVVneD0WsUhhvk42MA&s,ES
Cub Natació Mataro,41.5374596,2.4523603,Mataro,https://upload.wikimedia.org/wikipedia/commons/c/cf/CNMataro.JPG,ES
Club Esportiu Mediterrani,41.3768955,2.12261,Barcelona,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsyBVQgqBNQ_JVPvG8PDzCj7KtWodXini9mA&s,ES
Club Natació Sant Andreu,41.4292792,2.1865037,Barcelona,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI5u5gki1Ep_HIiTEkBc6udg18CMgGK-E2zg&s,ES
Club Natació Terrasa,41.5758981,2.0087826,Terrassa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDe6chxV9WzsMiJCQVWYjkk97JQL8tUg3ZXw&s,ES
Club Natació Sabadell,41.5613801,2.0872509,Sabadell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQevASM8Q1eqUJ_66CrQoue4FHflvmvMr1CA&s,ES
Club Natación Metropole,28.123185,-15.4270972,Las Palmas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-SbxVPTw3OMySDmfgCAAth9N_cIb3kaI9KQ&s,ES
Club Natación Las Palmas,28.1213217,-15.4297022,Las Palmas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjmHbGZD4NAjdns0m9Zxhnnuvq2azhBsItWw&s,ES
Club de Natación Madrid Moscardó,40.3878043,-3.7064225,Madrid,https://www.madrid.es/UnidadesDescentralizadas/Deportes/EntidadesYOrganismos/CentrosDeportivosMunicipales/ficheros/imagenes2017/moscardo.jpg,ES
Club Valenciano de Natación,39.5133673,-0.3791166,Valencia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1WkyJ2duPP3jnvMLQSHwJk_mTl99LukJoiQ&s,ES
